Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM
Hanwha Life Esports,2,0,2,32.5,13,37,0.35,0.77,-2.08,-0.094,35.6,-35.6,-1835,0.5,0,0,2.5,0.25,,1,0.22,,0.5,0.5,0.501,0.43,3.22,1.64,1.7
KT Rolster,3,2,1,35.2,36,15,2.4,0.48,-0.61,-0.007,32.8,33.9,-1458,0.33,0,0.33,1.3,0.33,,0.33,0.36,,0.33,0.5,0.503,0.491,4.16,1.71,2.25
Liiv SANDBOX,3,1,2,35.2,15,36,0.42,0.48,0.61,0.007,67.2,-33.9,1458,0.67,1,0.67,5.3,0.67,,0.67,0.64,,0.33,0.5,0.497,0.509,4.07,1.57,2.06
BRION,3,1,2,35.1,29,37,0.78,0.63,-0.17,0.022,27.1,6.2,-953,0.33,0.67,0.67,2.7,0.33,,0.33,0.33,,0.67,0.75,0.489,0.522,4.32,1.54,1.91
DRX,2,0,2,32.3,17,39,0.44,0.87,-1.92,-0.1,42.1,-42.1,-816,0.5,0,0,4,0.5,,0.5,0.33,,0,0,0.505,0.438,3.75,1.28,1.92
Gen.G,3,2,1,35.1,37,29,1.28,0.63,0.17,-0.022,72.9,-6.2,953,0.67,0.33,0.33,4.3,0.67,,0.67,0.67,,0,0.25,0.511,0.478,3.96,1.72,2.28
Nongshim RedForce,2,2,0,32.3,39,17,2.29,0.87,1.92,0.1,57.9,42.1,816,0.5,1,1,3,0.5,,0.5,0.67,,1,1,0.495,0.562,4.38,1.39,1.96
DN Freecs,3,2,1,35.3,31,23,1.35,0.51,-0.26,-0.002,45.1,21.5,-740,0.33,0.67,0.67,4,0.67,,0.67,0.67,1,0.33,0.33,0.505,0.531,4.13,1.55,1.76
Dplus KIA,2,2,0,29.7,31,13,2.38,0.74,0.01,-0.005,33.9,66.1,-1204,0,0,0.5,3.5,0.75,,0,0.57,,1,1,0.481,0.545,3.99,1.57,1.46
KT Rolster,3,1,2,35.3,23,31,0.74,0.51,0.26,0.002,54.9,-21.5,740,0.67,0.33,0.33,2.3,0.33,,0.33,0.33,0,0.33,0.67,0.495,0.469,3.74,1.53,2.11
Liiv SANDBOX,2,0,2,29.7,13,31,0.42,0.74,-0.01,0.005,66.1,-66.1,1204,1,1,0.5,3.5,0.25,,1,0.43,,0,0,0.519,0.455,3.89,1.62,1.68
Gen.G,2,2,0,38.2,23,12,1.92,0.45,1.43,0.031,73.4,26.6,1045,1,0.5,1,3,0.75,,1,0.55,,1,0.75,0.501,0.53,3.52,1.49,2.18
Hanwha Life Esports,2,2,0,37.3,34,10,3.4,0.59,1.1,0.119,49.4,50.6,-928,0.5,0,0,4,0.25,,1,0.78,,1,1,0.502,0.569,3.72,1.52,1.94
Nongshim RedForce,2,0,2,38.2,11,23,0.48,0.45,-1.43,-0.031,26.6,-26.6,-1045,0,0.5,0,4,0.25,,0,0.45,,0,0.25,0.499,0.47,4.29,1.44,1.73
T1,2,0,2,37.3,10,34,0.29,0.59,-1.1,-0.119,50.6,-50.6,928,0.5,1,1,4,0.75,,0,0.22,,0,0,0.498,0.431,3.55,1.74,1.51
DRX,3,1,2,33.4,22,35,0.63,0.57,-0.41,-0.093,55.8,-22.5,533,0.33,0.33,0.33,,0.17,,0.67,0.57,,0.33,0.33,0.503,0.498,3.44,1.35,1.57
Gen.G,3,2,1,31.3,40,29,1.38,0.73,0.26,0.043,42.6,24.1,225,0.33,0.33,0.67,,0.5,,0,0.46,1,0.67,0.5,0.498,0.512,3.36,1.72,1.63
KT Rolster,3,1,2,31.3,29,40,0.73,0.73,-0.26,-0.043,57.4,-24.1,-225,0.67,0.67,0.33,,0.5,,1,0.54,0,0.33,0.5,0.502,0.488,3.29,1.69,1.49
Nongshim RedForce,3,2,1,33.4,35,22,1.59,0.57,0.41,0.093,44.2,22.5,-533,0.67,0.67,0.67,,0.83,,0.33,0.43,,0.67,0.67,0.497,0.502,3.41,1.13,1.78
BRION,2,0,2,34.5,11,26,0.42,0.54,-1.18,-0.077,52.6,-52.6,-566,1,0.5,0.5,,0.5,,1,0.56,,0,0,0.504,0.47,4.11,1.68,1.9
DN Freecs,2,0,2,39,17,38,0.45,0.71,-0.96,-0.068,37.1,-37.1,-1325,0,0,0.5,,0.75,,0.5,0.2,0,0,0,0.507,0.438,4.13,1.5,1.98
Dplus KIA,2,2,0,39,38,18,2.11,0.71,0.96,0.068,62.9,37.1,1325,1,1,0.5,,0.25,,0.5,0.8,1,1,1,0.493,0.562,3.92,1.71,2.14
T1,2,2,0,34.5,26,11,2.36,0.54,1.18,0.077,47.4,52.6,566,0,0.5,0.5,,0.5,,0,0.44,,1,1,0.496,0.53,3.75,1.47,2.36
Gen.G,3,2,1,34.4,43,22,1.95,0.63,1.33,0.047,79,-12.3,2624,0.67,1,1,,0.33,,0.67,0.53,,0.67,0.67,0.515,0.492,4.08,1.66,1.96
Hanwha Life Esports,2,0,2,34.1,24,32,0.75,0.82,-1.11,-0.041,21.6,-21.6,-1883,0,0,0,,0,,0.5,0.44,,0,0.33,0.499,0.445,3.64,1.55,1.42
Liiv SANDBOX,2,2,0,34.1,32,24,1.33,0.82,1.11,0.041,78.4,21.6,1883,1,1,1,,1,,0.5,0.56,,1,0.67,0.501,0.555,3.4,1.55,1.77
Nongshim RedForce,3,1,2,34.4,22,43,0.51,0.63,-1.33,-0.047,21,12.3,-2624,0.33,0,0,,0.67,,0.33,0.47,,0.33,0.33,0.485,0.508,3.81,1.34,2.01
DN Freecs,3,2,1,31.4,52,35,1.49,0.92,0.96,0.085,72,-5.3,1498,0.67,0.67,1,,0.83,,1,0.92,0,0.67,0.67,0.498,0.512,3.32,1.39,1.52
Dplus KIA,2,2,0,31.9,29,14,2.07,0.67,0.46,0.039,49,51,-174,0.5,0,0.5,,0.25,,0.5,0.75,,1,1,0.496,0.516,3.97,1.57,1.77
DRX,2,0,2,31.9,14,29,0.48,0.67,-0.46,-0.039,51,-51,174,0.5,1,0.5,,0.75,,0.5,0.25,,0,0,0.504,0.484,3.5,1.24,1.55
KT Rolster,3,1,2,31.4,35,52,0.67,0.92,-0.96,-0.085,28,5.3,-1498,0.33,0.33,0,,0.17,,0,0.08,1,0.33,0.33,0.502,0.488,3.13,1.49,1.28
BRION,3,1,2,30.2,19,30,0.63,0.54,-0.49,-0.059,32.1,1.2,-1122,0.33,0.33,0.33,,0.17,,0.33,0.58,0.5,0.33,0.5,0.493,0.497,3.98,1.65,1.99
Hanwha Life Esports,3,2,1,30.2,30,19,1.58,0.54,0.49,0.059,67.9,-1.2,1122,0.67,0.67,0.67,,0.83,,0.67,0.42,0.5,0.33,0.5,0.507,0.503,3.84,1.76,1.89
Liiv SANDBOX,2,2,0,31.6,26,12,2.17,0.6,-0.44,-0.006,38.3,61.7,-476,0.5,1,0.5,,1,,0,0.75,,0.5,0.5,0.514,0.46,3.5,1.65,1.79
T1,2,0,2,31.6,12,26,0.46,0.6,0.44,0.006,61.7,-61.7,476,0.5,0,0.5,,0,,1,0.25,,0.5,0.5,0.486,0.54,3.34,1.49,1.45
BRION,2,2,0,34.6,36,12,3,0.69,1.54,0.144,62.6,37.4,630,1,0.5,0.5,,0.5,,0.5,0.89,,1,1,0.503,0.592,4.71,1.5,2.18
Hanwha Life Esports,2,0,2,26.3,11,40,0.28,0.97,-2.87,-0.213,14.4,-14.4,-2633,0,0,0,,0.5,,0,0,,0,0,0.512,0.416,3.2,1.52,1.15
Liiv SANDBOX,2,0,2,34.6,12,36,0.33,0.69,-1.54,-0.144,37.4,-37.4,-630,0,0.5,0.5,,0.5,,0.5,0.11,,0,0,0.497,0.408,3.56,1.69,2.21
T1,2,2,0,26.3,40,11,3.64,0.97,2.87,0.213,85.6,14.4,2633,1,1,1,,0.5,,1,1,,1,1,0.488,0.584,3.2,1.49,1.66
DRX,3,1,2,30.8,19,33,0.58,0.56,-1.15,-0.092,30.7,2.7,-1408,0,0,0.33,,0,,0.67,0.38,,0.33,0.25,0.497,0.451,3.11,1.3,1.7
Gen.G,3,2,1,30.8,33,19,1.74,0.56,1.15,0.092,69.3,-2.7,1408,1,1,0.67,,1,,0.33,0.62,,0.67,0.75,0.503,0.549,3.67,1.47,1.66
KT Rolster,3,1,2,33.3,35,37,0.95,0.72,0.83,0.012,59.4,-26,1898,0.67,0.67,0.33,,0.67,,0,0.38,,0.33,0.33,0.513,0.52,3.46,1.48,1.52
Nongshim RedForce,3,2,1,33.3,37,35,1.06,0.72,-0.83,-0.012,40.6,26,-1898,0.33,0.33,0.67,,0.33,,1,0.62,,0.67,0.67,0.487,0.48,3.34,1.2,1.68
BRION,3,2,1,32.2,38,29,1.31,0.69,0.74,0.03,64,2.7,186,0.33,0.67,0.67,,0.33,,1,0.69,1,0.67,0.6,0.51,0.566,3.98,1.64,2.02
DN Freecs,2,2,0,35.6,33,12,2.75,0.63,2.3,0.059,81,19,2716,1,1,0.5,,1,,1,0.67,,1,1,0.498,0.466,5.17,1.53,2.34
Dplus KIA,3,1,2,32.2,29,38,0.76,0.69,-0.74,-0.03,36,-2.7,-186,0.67,0.33,0.33,,0.67,,0,0.31,0,0.33,0.4,0.49,0.434,3.74,1.56,1.64
Hanwha Life Esports,2,0,2,35.6,12,33,0.36,0.63,-2.3,-0.059,19,-19,-2716,0,0,0.5,,0,,0,0.33,,0,0,0.502,0.534,4.03,1.7,2.12
Gen.G,3,2,1,31.1,37,31,1.19,0.72,-0.33,0.059,48.9,17.8,891,0.33,0.33,0.33,,0.17,,0.67,0.46,1,0.33,0.6,0.514,0.535,3.4,1.58,1.91
Liiv SANDBOX,3,1,2,31.1,30,37,0.81,0.72,0.33,-0.059,51.1,-17.8,-891,0.67,0.67,0.67,,0.83,,0.33,0.54,0,0.67,0.4,0.486,0.465,3.88,1.75,1.5
Nongshim RedForce,2,2,0,53.6,31,26,1.19,0.53,0.02,-0.032,59.3,40.7,372,0.5,0,0.5,,0.5,,0.5,0.58,0.67,0.5,0.5,0.491,0.57,4.15,1.32,2.24
T1,2,0,2,53.6,26,31,0.84,0.53,-0.02,0.032,40.7,-40.7,-372,0.5,1,0.5,,0.5,,0.5,0.42,0.33,0.5,0.5,0.509,0.43,4.05,1.42,2.02
Dplus KIA,3,2,1,28.6,42,34,1.24,0.87,0.79,0.094,62.6,4.1,1817,0.33,1,0.67,,1,,0.33,0.5,0,0.67,0.67,0.476,0.524,3.17,1.47,1.37
DRX,2,0,2,31.6,16,40,0.4,0.89,-1.04,-0.026,26.9,-26.9,-637,0,0.5,0,,0.5,,0,0,0,0,0,0.484,0.488,3.53,1.54,1.19
Hanwha Life Esports,3,1,2,28.6,33,42,0.79,0.87,-0.79,-0.094,37.4,-4.1,-1817,0.67,0,0.33,,0,,0.67,0.5,1,0.33,0.33,0.524,0.476,3.11,1.35,1.52
KT Rolster,2,2,0,31.6,40,16,2.5,0.89,1.04,0.026,73.1,26.9,637,1,0.5,1,,0.5,,1,1,1,1,1,0.516,0.512,3.25,1.71,1.92
BRION,2,2,0,33.3,26,5,5.2,0.47,1.58,0.152,87.8,12.2,2546,1,1,0.5,,0.25,,1,1,1,1,1,0.509,0.521,4.23,1.75,1.87
DN Freecs,2,0,2,33.5,14,38,0.37,0.78,-0.66,-0.072,27.6,-27.6,-2133,0.5,0.5,0.5,,0.75,,0,0.13,,0,0.25,0.494,0.494,3.5,1.39,1.98
Gen.G,2,2,0,33.5,38,14,2.71,0.78,0.66,0.072,72.4,27.6,2133,0.5,0.5,0.5,,0.25,,1,0.88,,1,0.75,0.506,0.506,4.45,1.48,1.96
Nongshim RedForce,2,0,2,33.3,5,26,0.19,0.47,-1.58,-0.152,12.2,-12.2,-2546,0,0,0.5,,0.75,,0,0,0,0,0,0.491,0.479,3.36,1.26,1.98
DRX,2,0,2,44.1,24,36,0.67,0.68,-0.68,-0.041,26.5,-26.5,-809,0,0,0,,0.5,,0,0.33,0,0,0,0.485,0.465,4.13,1.41,2.13
KT Rolster,3,1,2,31.1,33,33,1,0.71,-0.03,-0.032,40.2,-6.9,-566,0.67,0.33,0.33,,0.5,,0.33,0.25,,0.33,0.33,0.479,0.491,3.5,1.67,1.39
Liiv SANDBOX,3,2,1,31.1,33,33,1,0.71,0.03,0.032,59.8,6.9,566,0.33,0.67,0.67,,0.5,,0.67,0.75,,0.67,0.67,0.521,0.509,3.18,1.4,1.94
T1,2,2,0,44.1,36,24,1.5,0.68,0.68,0.041,73.5,26.5,809,1,1,1,,0.5,,1,0.67,1,1,1,0.515,0.535,4.11,1.77,2.11
BRION,3,1,2,32.5,18,42,0.43,0.61,-1.39,-0.108,41.9,-8.5,-351,0,0.67,0,,0.67,,0.33,0.38,1,0,0,0.493,0.46,4.08,1.82,1.84
Gen.G,3,2,1,32.5,42,18,2.33,0.61,1.39,0.108,58.1,8.5,351,1,0.33,1,,0.33,,0.67,0.62,0,1,1,0.507,0.54,3.81,1.59,1.97
KT Rolster,3,1,2,33.6,31,39,0.79,0.68,-0.7,-0.063,46.7,-13.4,-469,0.67,0.67,0,,0.6,,0.67,0.4,,0.33,0.33,0.508,0.475,3.33,1.82,1.86
T1,3,2,1,33.6,38,32,1.19,0.68,0.7,0.063,53.3,13.4,469,0.33,0.33,1,,0.4,,0.33,0.6,,0.67,0.67,0.492,0.525,4.2,1.74,1.42
DN Freecs,3,1,2,33.1,40,42,0.95,0.83,1.01,0.018,66,-32.6,1567,1,0.67,0.33,,0.83,,0.67,0.53,,0.33,0.5,0.509,0.504,3.81,1.27,2.11
DRX,2,0,2,29.5,11,38,0.29,0.83,-3.84,-0.125,5.1,-5.1,-4435,0,0,0,,0,,0,0,,0,0,0.486,0.401,3.14,1.43,1.35
Hanwha Life Esports,2,2,0,29.5,38,12,3.17,0.83,3.84,0.125,94.9,5.1,4435,1,1,1,,1,,1,1,,0.5,1,0.514,0.599,3.55,1.5,1.71
Liiv SANDBOX,3,2,1,33.1,42,40,1.05,0.83,-1.01,-0.018,34,32.6,-1567,0,0.33,0.67,,0.17,,0.33,0.47,,0.67,0.5,0.491,0.496,3.86,1.55,1.97
BRION,2,0,2,35.3,10,31,0.32,0.58,-1.18,-0.083,41.2,-41.2,-1406,0.5,0.5,0.5,,0.25,,1,0.36,,0,0,0.486,0.484,4.61,1.78,1.78
Dplus KIA,3,1,2,29.1,20,41,0.49,0.7,-1.71,-0.067,33.5,-0.2,-2579,0.33,0.33,0.33,,0.33,,0.67,0.58,,0.33,0.33,0.5,0.478,3.21,1.4,1.41
KT Rolster,2,2,0,35.3,31,10,3.1,0.58,1.18,0.083,58.8,41.2,1406,0.5,0.5,0.5,,0.75,,0,0.64,,1,1,0.514,0.516,3.58,1.89,2.6
Nongshim RedForce,3,2,1,29.1,41,20,2.05,0.7,1.71,0.067,66.5,0.2,2579,0.67,0.67,0.67,,0.67,,0.33,0.42,,0.67,0.67,0.5,0.522,3.82,1.32,1.55
DN Freecs,3,2,1,39.4,21,24,0.88,0.38,-0.59,-0.017,51.6,15.1,-289,0,0.67,0.33,,0.5,,0.67,0.63,,0.67,0.5,0.511,0.487,3.64,1.41,2.39
DRX,3,1,2,32.7,35,38,0.92,0.74,0.3,-0.015,68.1,-34.7,1171,0.67,0.67,0.67,,0.5,,0.67,0.54,,0.33,0.2,0.505,0.519,3.23,1.27,1.76
Liiv SANDBOX,3,2,1,32.7,38,35,1.09,0.74,-0.3,0.015,31.9,34.7,-1171,0.33,0.33,0.33,,0.5,,0.33,0.46,,0.67,0.8,0.495,0.481,3.81,1.71,1.68
T1,3,1,2,39.4,24,21,1.14,0.38,0.59,0.017,48.4,-15.1,289,1,0.33,0.67,,0.5,,0.33,0.38,,0.33,0.5,0.489,0.513,4.39,1.77,1.88
Dplus KIA,2,2,0,35.2,41,21,1.95,0.88,1.23,0.111,62.9,37.1,1265,1,1,1,,1,,0.5,0.6,,1,1,0.491,0.543,3.96,1.75,1.88
Gen.G,2,0,2,35.2,21,41,0.51,0.88,-1.23,-0.111,37.1,-37.1,-1265,0,0,0,,0,,0.5,0.4,,0,0,0.509,0.457,3.82,1.9,1.86
Hanwha Life Esports,3,2,1,39.1,52,32,1.63,0.72,2.76,0.114,66.4,0.3,2681,1,0.67,1,,0.83,,0,0.33,,0.67,0.8,0.515,0.533,3.5,1.55,1.74
Nongshim RedForce,3,1,2,39.1,32,52,0.62,0.72,-2.76,-0.114,33.6,-0.3,-2681,0,0.33,0,,0.17,,1,0.67,,0.33,0.2,0.485,0.467,3.35,1.27,1.63
BRION,3,1,2,32.7,22,23,0.96,0.46,-0.67,-0.017,47.5,-14.2,-429,0.67,0,0,,0.83,,0.67,0.57,0,0.33,0.25,0.49,0.482,4.57,1.57,1.81
DN Freecs,3,2,1,32.7,23,22,1.05,0.46,0.67,0.017,52.5,14.2,429,0.33,1,1,,0.17,,0.33,0.43,1,0.67,0.75,0.51,0.518,3.63,1.57,2.22
Dplus KIA,3,2,1,34.8,44,41,1.07,0.81,0.12,0.027,43.4,23.3,-536,0,0.33,0.67,,0.6,,0.33,0.56,,0.67,0.8,0.486,0.542,3.7,1.35,1.85
T1,3,1,2,34.8,41,45,0.91,0.81,-0.12,-0.027,56.6,-23.3,536,1,0.67,0.33,,0.4,,0.67,0.44,,0.33,0.2,0.514,0.458,4.19,1.73,1.6
DN Freecs,2,0,2,31.3,13,25,0.52,0.61,-0.79,-0.069,45.7,-45.7,128,0.5,0.5,0.5,,0.75,,0,0.44,,0,0,0.489,0.441,4.46,1.69,1.73
Dplus KIA,2,2,0,33.4,34,16,2.13,0.75,0.74,0.022,59.8,40.2,937,0.5,1,0.5,,0.75,,0.5,0.78,,0.5,0.75,0.491,0.557,4.23,1.6,2.19
Liiv SANDBOX,2,0,2,33.4,16,34,0.47,0.75,-0.74,-0.022,40.2,-40.2,-937,0.5,0,0.5,,0.25,,0.5,0.22,,0.5,0.25,0.509,0.443,4.25,1.73,1.81
Nongshim RedForce,2,2,0,31.3,25,13,1.92,0.61,0.79,0.069,54.3,45.7,-128,0.5,0.5,0.5,,0.25,,1,0.56,,0.5,1,0.511,0.559,3.66,1.53,2.35
BRION,3,1,2,30.4,19,30,0.63,0.54,-1.18,-0.076,41.2,-7.9,-1391,0.33,0.33,0.33,,0.17,,1,0.62,,0,0,0.505,0.464,3.63,1.64,1.8
DRX,3,2,1,30.4,30,19,1.58,0.54,1.18,0.076,58.8,7.9,1391,0.67,0.67,0.67,,0.83,,0,0.38,,0.67,1,0.495,0.536,3.8,1.6,1.83
Hanwha Life Esports,3,2,1,33.9,45,29,1.55,0.72,-0.01,0.036,46.6,20.1,-393,0.67,0.33,0.67,,0.67,,0.67,0.69,,0.67,0.5,0.513,0.518,3.52,1.39,1.81
KT Rolster,3,1,2,33.9,28,45,0.62,0.72,0.01,-0.036,53.4,-20.1,393,0.33,0.67,0.33,,0.33,,0.33,0.31,,0.33,0.5,0.487,0.482,3.63,1.67,1.5
DN Freecs,3,2,1,37.5,39,28,1.39,0.6,0.93,0.05,47.7,19,130,1,0.67,0.33,,0.33,,0.33,0.4,1,0.33,0.67,0.5,0.498,4.03,1.45,1.82
Gen.G,2,0,2,30.4,9,32,0.28,0.67,-2.96,-0.158,23.6,-23.6,-3098,0.5,0,0,,0.25,,0.5,0.43,,0,0,0.508,0.447,4.07,1.74,2.22
Liiv SANDBOX,3,1,2,37.5,28,39,0.72,0.6,-0.93,-0.05,52.3,-19,-130,0,0.33,0.67,,0.67,,0.67,0.6,0,0.67,0.33,0.5,0.502,3.92,1.49,2.01
T1,2,2,0,30.4,32,9,3.56,0.67,2.96,0.158,76.4,23.6,3098,0.5,1,1,,0.75,,0.5,0.57,,0.5,1,0.492,0.553,4.73,1.93,2.29
BRION,3,1,2,34.7,33,38,0.87,0.68,-0.35,-0.023,52.5,-19.1,241,0.67,0.67,0.67,,0.67,,0.67,0.43,,0.33,0.25,0.496,0.487,3.9,1.78,1.7
Dplus KIA,2,2,0,31.3,35,21,1.67,0.89,0.7,0.083,47.4,52.6,-486,0,0.5,1,,0.5,,0.5,0.75,,0.5,0.75,0.485,0.586,3.96,1.66,1.69
Hanwha Life Esports,2,0,2,31.3,21,35,0.6,0.89,-0.7,-0.083,52.6,-52.6,486,1,0.5,0,,0.5,,0.5,0.25,,0.5,0.25,0.515,0.414,3.13,1.54,1.7
KT Rolster,3,2,1,34.7,38,33,1.15,0.68,0.35,0.023,47.5,19.1,-241,0.33,0.33,0.33,,0.33,,0.33,0.57,,0.67,0.75,0.504,0.513,3.52,1.68,1.81
DRX,2,0,2,30.4,20,42,0.48,1.02,-0.79,-0.106,36.4,-36.4,-1109,0.5,0.5,0.5,,0.75,,0.5,0.13,,0,0,0.482,0.484,3.76,1.53,1.5
Gen.G,2,2,0,30.4,42,20,2.1,1.02,0.79,0.106,63.6,36.4,1109,0.5,0.5,0.5,,0.25,,0.5,0.88,,0.5,1,0.518,0.516,3.54,1.73,2
Nongshim RedForce,2,2,0,30.2,31,12,2.58,0.71,0.08,0.078,39.1,60.9,-464,0,0.5,0.5,,0.5,,0.5,0.63,,1,1,0.5,0.543,2.94,1.21,2.39
T1,2,0,2,30.2,12,31,0.39,0.71,-0.08,-0.078,60.9,-60.9,464,1,0.5,0.5,,0.5,,0.5,0.38,,0,0,0.5,0.457,4.42,2,1.27
Dplus KIA,3,1,2,36,41,63,0.65,0.96,-0.28,0.004,50.8,-17.5,893,0,0.67,0.67,,0.67,,0,0.44,,0.67,0.75,0.499,0.534,3.98,1.51,1.55
KT Rolster,2,0,2,25.6,13,29,0.45,0.82,-1.76,-0.072,32.6,-32.6,-1887,0,0,0,,0.5,,0.5,0.4,,0,0,0.49,0.453,3.15,1.51,1.77
Nongshim RedForce,3,2,1,36,63,41,1.54,0.96,0.28,-0.004,49.2,17.5,-893,1,0.33,0.33,,0.33,,1,0.56,,0.33,0.25,0.501,0.466,3.43,1.37,1.95
T1,2,2,0,25.6,29,13,2.23,0.82,1.76,0.072,67.4,32.6,1887,1,1,1,,0.5,,0.5,0.6,,1,1,0.51,0.547,3.84,1.66,1.37
BRION,2,2,0,31,34,13,2.62,0.76,2.13,0.128,77.3,22.7,1781,1,1,1,,0.67,,1,0.75,,1,1,0.493,0.561,3.77,1.61,1.99
DN Freecs,2,0,2,31,13,34,0.38,0.76,-2.13,-0.128,22.7,-22.7,-1781,0,0,0,,0.33,,0,0.25,,0,0,0.507,0.439,3.53,1.59,1.76
DRX,2,0,2,33.9,20,33,0.61,0.78,-1.58,-0.067,19.7,-19.7,-2107,0,0.5,0,,0.33,,0,0.11,0,0,0,0.506,0.498,3.38,1.49,1.95
Liiv SANDBOX,2,2,0,33.9,33,20,1.65,0.78,1.58,0.067,80.3,19.7,2107,1,0.5,1,,0.67,,1,0.89,1,1,1,0.494,0.502,3.84,1.55,1.64
Dplus KIA,3,1,2,34.3,34,41,0.83,0.73,-1.01,0,39.4,-6.1,-1861,0.33,1,0.33,,0.33,,0.67,0.57,0,0.67,0.71,0.493,0.51,3.77,1.54,2.02
Gen.G,3,2,1,33.4,53,38,1.39,0.9,1.53,0.156,72.2,-5.5,1658,1,0.67,0.67,,0.33,,0.67,0.56,,1,0.75,0.503,0.579,4.12,1.6,1.68
Hanwha Life Esports,3,1,2,33.4,37,53,0.7,0.9,-1.53,-0.156,27.8,5.5,-1658,0,0.33,0.33,,0.67,,0.33,0.44,,0,0.25,0.497,0.421,3.22,1.45,2.09
T1,3,2,1,34.3,41,34,1.21,0.73,1.01,0,60.6,6.1,1861,0.67,0,0.67,,0.67,,0.33,0.43,1,0.33,0.29,0.507,0.49,4.49,1.91,1.86
BRION,3,2,1,32.9,50,29,1.72,0.8,-0.27,0.026,48.3,18.3,-241,0.33,0.33,0.33,,0.33,,0.67,0.62,,0.67,0.75,0.491,0.489,3.73,1.7,1.82
DRX,3,1,2,32.9,29,50,0.58,0.8,0.27,-0.026,51.7,-18.3,241,0.67,0.67,0.67,,0.67,,0.33,0.38,,0.33,0.25,0.509,0.511,3.7,1.5,1.71
KT Rolster,2,0,2,29.5,17,40,0.43,0.97,-1.36,-0.113,30.6,-30.6,-1557,0,0,0,,0.25,,0.5,0.5,,0,0,0.518,0.498,3.21,1.65,1.14
Nongshim RedForce,2,2,0,29.5,40,17,2.35,0.97,1.36,0.113,69.4,30.6,1557,1,1,1,,0.75,,0.5,0.5,,1,1,0.482,0.502,3.13,1.32,1.38
DN Freecs,3,1,2,37.7,22,25,0.88,0.42,-0.48,-0.106,50.6,-17.3,-468,0.67,0.33,0.33,,0.17,,0.67,0.47,,0,0.2,0.511,0.41,3.61,1.42,2.3
Gen.G,3,1,2,33.4,28,46,0.61,0.73,-2.1,-0.081,12.4,20.9,-2842,0,0,0,,0.33,,0,0.4,,0.33,0.2,0.494,0.463,4.07,1.87,1.98
Liiv SANDBOX,3,2,1,33.4,45,28,1.61,0.73,2.1,0.081,87.6,-20.9,2842,1,1,1,,0.67,,1,0.6,,0.67,0.8,0.506,0.537,4.24,1.72,2.1
T1,3,2,1,37.7,25,22,1.14,0.42,0.48,0.106,49.4,17.3,468,0.33,0.67,0.67,,0.83,,0.33,0.53,,1,0.8,0.489,0.59,4.62,1.98,1.87
Gen.G,2,2,0,38.3,36,24,1.5,0.78,-1.15,0.006,41.6,58.4,-1307,1,0,0.5,,0.25,,1,0.8,,0.5,0.75,0.526,0.514,4.19,1.4,1.94
Hanwha Life Esports,2,0,2,38.3,24,36,0.67,0.78,1.15,-0.006,58.4,-58.4,1307,0,1,0.5,,0.75,,0,0.2,,0.5,0.25,0.474,0.486,3.43,1.49,2.27
Liiv SANDBOX,3,1,2,28.9,22,47,0.47,0.8,0.05,-0.017,54.1,-20.8,-233,1,0.67,0.67,,0.67,,0.33,0.42,,0.33,0.33,0.515,0.483,3.56,1.61,1.47
Nongshim RedForce,3,2,1,28.9,47,22,2.14,0.8,-0.05,0.017,45.9,20.8,233,0,0.33,0.33,,0.33,,0.67,0.58,,0.67,0.67,0.485,0.517,3.42,1.28,1.55
BRION,3,1,2,35.7,40,39,1.03,0.74,-0.46,-0.058,47.6,-14.2,-433,0.67,0,0.33,,0.33,,0.67,0.53,,0.33,0.2,0.508,0.444,4.24,1.7,2.21
Hanwha Life Esports,2,0,2,30.8,11,42,0.26,0.86,-1.54,-0.14,19.7,-19.7,-3158,0.5,0.5,0.5,,0.5,,0,0,,0,0,0.512,0.438,3.22,1.51,1.71
KT Rolster,2,2,0,30.8,42,11,3.82,0.86,1.54,0.14,80.3,19.7,3158,0.5,0.5,0.5,,0.5,,1,1,,1,1,0.488,0.562,3.33,1.42,1.7
Nongshim RedForce,3,2,1,35.7,39,40,0.98,0.74,0.46,0.058,52.4,14.2,433,0.33,1,0.67,,0.67,,0.33,0.47,,0.67,0.8,0.492,0.556,4.35,1.48,2.34
Dplus KIA,2,2,0,23.1,44,6,7.33,1.08,3.16,0.313,86.9,13.1,3363,1,1,1,,0.75,,1,1,,1,1,0.518,0.573,2.9,1.46,1.24
DRX,2,0,2,23.1,6,44,0.14,1.08,-3.16,-0.313,13.1,-13.1,-3363,0,0,0,,0.25,,0,0,,0,0,0.482,0.427,2.72,1.08,0.95
Liiv SANDBOX,3,2,1,30.4,34,32,1.06,0.72,-0.4,-0.01,46.4,20.3,-1037,0.33,0.67,0.67,,0.5,,0.67,0.67,,0.67,1,0.501,0.463,4.4,1.73,2.13
T1,3,1,2,30.4,32,34,0.94,0.72,0.4,0.01,53.6,-20.3,1037,0.67,0.33,0.33,,0.5,,0.33,0.33,,0,0,0.499,0.537,4.28,1.72,1.88
